year,District,month,Outbreak status,date
2018,Hambantota,November,0,2018-11-01
2018,Hambantota,December,0,2018-12-01
2018,Jaffna,January,1,2018-01-01
2018,Jaffna,February,1,2018-02-01
2018,Jaffna,March,0,2018-03-01
2018,Jaffna,April,0,2018-04-01
2018,Jaffna,May,0,2018-05-01
2018,Jaffna,June,0,2018-06-01
2018,Jaffna,July,0,2018-07-01
2018,Jaffna,August,0,2018-08-01
2018,Jaffna,September,0,2018-09-01
2018,Jaffna,October,0,2018-10-01
2018,Jaffna,November,0,2018-11-01
2018,Jaffna,December,0,2018-12-01
2018,Kalutara,January,0,2018-01-01
2018,Kalutara,February,0,2018-02-01
2018,Kalutara,March,0,2018-03-01
2018,Kalutara,April,0,2018-04-01
2018,Kalutara,May,0,2018-05-01
2018,Kalutara,June,0,2018-06-01
2018,Kalutara,July,0,2018-07-01
2018,Kalutara,August,0,2018-08-01
2018,Kalutara,September,0,2018-09-01
2018,Kalutara,October,0,2018-10-01
2018,Kalutara,November,0,2018-11-01
2018,Kalutara,December,0,2018-12-01
2018,Kandy,January,0,2018-01-01
2018,Kandy,February,1,2018-02-01
2018,Kandy,March,1,2018-03-01
2018,Kandy,April,0,2018-04-01
2018,Kandy,May,0,2018-05-01
2018,Kandy,June,0,2018-06-01
2018,Kandy,July,0,2018-07-01
2018,Kandy,August,1,2018-08-01
2018,Kandy,September,1,2018-09-01
2018,Kandy,October,1,2018-10-01
2018,Kandy,November,0,2018-11-01
2018,Kandy,December,0,2018-12-01
2018,Kegalle,January,0,2018-01-01
2018,Kegalle,February,0,2018-02-01
2018,Kegalle,March,0,2018-03-01
2018,Kegalle,April,0,2018-04-01
2018,Kegalle,May,0,2018-05-01
2018,Kegalle,June,0,2018-06-01
2018,Kegalle,July,0,2018-07-01
2018,Kegalle,August,0,2018-08-01
2018,Kegalle,September,1,2018-09-01
2018,Kegalle,October,0,2018-10-01
2018,Kegalle,November,0,2018-11-01
2018,Kegalle,December,0,2018-12-01
2018,Kilinochchi,January,0,2018-01-01
2018,Kilinochchi,February,0,2018-02-01
2018,Kilinochchi,March,0,2018-03-01
2018,Kilinochchi,April,0,2018-04-01
2018,Kilinochchi,May,0,2018-05-01
2018,Kilinochchi,June,0,2018-06-01
2018,Kilinochchi,July,0,2018-07-01
2018,Kilinochchi,August,0,2018-08-01
2018,Kilinochchi,September,0,2018-09-01
2018,Kilinochchi,October,0,2018-10-01
2018,Kilinochchi,November,0,2018-11-01
2018,Kilinochchi,December,0,2018-12-01
2018,Kurunegala,January,1,2018-01-01
2018,Kurunegala,February,0,2018-02-01
2018,Kurunegala,March,0,2018-03-01
2018,Kurunegala,April,1,2018-04-01
2018,Kurunegala,May,0,2018-05-01
2018,Kurunegala,June,1,2018-06-01
2018,Kurunegala,July,1,2018-07-01
2018,Kurunegala,August,1,2018-08-01
2018,Kurunegala,September,0,2018-09-01
2018,Kurunegala,October,0,2018-10-01
2018,Kurunegala,November,1,2018-11-01
2018,Kurunegala,December,0,2018-12-01
2018,Mannar,January,0,2018-01-01
2018,Mannar,February,0,2018-02-01
2018,Mannar,March,0,2018-03-01
2018,Mannar,April,0,2018-04-01
2018,Mannar,May,0,2018-05-01
2018,Mannar,June,0,2018-06-01
2018,Mannar,July,0,2018-07-01
2018,Mannar,August,0,2018-08-01
2018,Mannar,September,0,2018-09-01
2018,Mannar,October,0,2018-10-01
2018,Mannar,November,0,2018-11-01
2018,Mannar,December,0,2018-12-01
2018,Matale,January,1,2018-01-01
2018,Matale,February,0,2018-02-01
2018,Matale,March,1,2018-03-01
2018,Matale,April,0,2018-04-01
2018,Matale,May,0,2018-05-01
2018,Matale,June,0,2018-06-01
2018,Matale,July,0,2018-07-01
2018,Matale,August,0,2018-08-01
2018,Matale,September,0,2018-09-01
2018,Matale,October,0,2018-10-01
2018,Matale,November,0,2018-11-01
2018,Matale,December,1,2018-12-01
2018,Matara,January,0,2018-01-01
2018,Matara,February,0,2018-02-01
2018,Matara,March,0,2018-03-01
2018,Matara,April,0,2018-04-01
2018,Matara,May,0,2018-05-01
2018,Matara,June,0,2018-06-01
2018,Matara,July,0,2018-07-01
2018,Matara,August,0,2018-08-01
2018,Matara,September,0,2018-09-01
2018,Matara,October,0,2018-10-01
2018,Matara,November,0,2018-11-01
2018,Matara,December,0,2018-12-01
2018,Moneragala,January,0,2018-01-01
2018,Moneragala,February,1,2018-02-01
2018,Moneragala,March,0,2018-03-01
2018,Moneragala,April,1,2018-04-01
2018,Moneragala,May,1,2018-05-01
2018,Moneragala,June,0,2018-06-01
2018,Moneragala,July,0,2018-07-01
2018,Moneragala,August,0,2018-08-01
2018,Moneragala,September,0,2018-09-01
2018,Moneragala,October,0,2018-10-01
2018,Moneragala,November,0,2018-11-01
2018,Moneragala,December,0,2018-12-01
2018,Mullaitivu,January,0,2018-01-01
2018,Mullaitivu,February,0,2018-02-01
2018,Mullaitivu,March,0,2018-03-01
2018,Mullaitivu,April,0,2018-04-01
2018,Mullaitivu,May,0,2018-05-01
2018,Mullaitivu,June,0,2018-06-01
2018,Mullaitivu,July,0,2018-07-01
2018,Mullaitivu,August,0,2018-08-01
2018,Mullaitivu,September,0,2018-09-01
2018,Mullaitivu,October,0,2018-10-01
2018,Mullaitivu,November,0,2018-11-01
2018,Mullaitivu,December,0,2018-12-01
2018,Nuwara Eliya,January,0,2018-01-01
2018,Nuwara Eliya,February,0,2018-02-01
2018,Nuwara Eliya,March,0,2018-03-01
2018,Nuwara Eliya,April,0,2018-04-01
